name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency
Senior Data Scientist REMOTE 🌍;Sigmoidal LLC;Python;data scientist;Zdalnie;N/A;28462;35369;PLN
Senior Data Scientist (Generative AI);Onwelo Sp. z o.o.;Python;data scientist;Zdalnie;N/A;21000;25200;PLN
Data Scientist (forecasting);Lingaro;Python;data scientist;Zdalnie;N/A;21840;25200;PLN
Senior Data Scientist;SKY ENGINE AI;;data scientist;Warsaw;N/A;20000;28000;PLN
Data Scientist (Junior/Mid);Addepto;Python;data scientist;Zdalnie;N/A;7000;12600;PLN
Senior Data Scientist;Reply Polska;Python;data scientist;Katowice;N/A;16000;22000;PLN
Senior Data Scientist;SEB (Skandinaviska Enskilda Banken);Python;data scientist;Warszawa;N/A;22000;27000;PLN
Senior Data Scientist - Generative AI;SoftServe;Python;data scientist;Zdalnie;N/A;20000;30000;PLN
Senior Data Scientist;hubQuest;Python;data scientist;Zdalnie;N/A;28500;35000;PLN
Data Scientist;Link Group;SQL;data scientist;Zdalnie;N/A;18000;24000;PLN
Tech Lead Data Scientist;Adform Sp. z o.o.;;data scientist;Warszawa;N/A;23700;32200;PLN
Senior Data Scientist;Link Group;Python;data scientist;Warsaw;N/A;20000;30000;PLN
Data Scientist;Avenga;Python;data scientist;Zdalnie;N/A;21840;23520;PLN
Data Scientist;Numlabs;Python;data scientist;Zdalnie;N/A;9000;14000;PLN
Senior Data Scientist;in4ge sp. z o.o.;;data scientist;Zdalnie;N/A;20000;28000;PLN
Data Scientist ( Mid / Senior );Addepto;Python;data scientist;Zdalnie;N/A;13000;26000;PLN
Data Scientist (Computer Vision);Onwelo Sp. z o.o.;Python;data scientist;Zdalnie;N/A;15750;21000;PLN
Senior Generative AI Data Scientist;Spyrosoft;Python;data scientist;"Wroc&lstrok;aw";N/A;18480;26880;PLN
Lead Data Science Consultant;SoftServe;AWS;data scientist;Zdalnie;N/A;28000;34000;PLN
Data Engineer (ETL, Python, SQL);Crestt;Python;data engineer;Warsaw;N/A;21000;29400;PLN
Mid Data Engineer;Digital Hub Warsaw at Bayer;AWS;data engineer;Warsaw;N/A;14000;20500;PLN
Business Data Analyst / BI Engineer;NIX Tech Kft.;;data engineer;Budapest;N/A;9352;12860;PLN
Data Engineer;Photon Energy Group;;data engineer;Zdalnie;N/A;22000;26000;PLN
Big Data Engineer - Data & AI;Allegro;;data engineer;Warszawa;N/A;12300;17600;PLN
Data Engineer;hubQuest;Python;data engineer;Zdalnie;N/A;30000;37000;PLN
GCP Data Engineer;Mindbox S.A.;SQL;data engineer;Kraków;N/A;29400;35700;PLN
Remote Senior Data Engineer;Kingfisher plc.;Python;data engineer;Zdalnie;N/A;22000;25000;PLN
Data Engineer (Financial Crime);SEB (Skandinaviska Enskilda Banken);Python;data engineer;Warszawa;N/A;28000;34000;PLN
Data Platform Engineer/Consultant;Elitmind;;data engineer;Zdalnie;N/A;13944;19992;PLN
Data Engineer with AWS & PBI;Sigma IT Poland;;data engineer;Zdalnie;N/A;19000;21800;PLN
Senior Data Engineer with Python;Objectivity - part of Accenture;Python;data engineer;Zdalnie;N/A;21840;26040;PLN
Senior Data Engineer with Databricks;Objectivity - part of Accenture;Databricks;data engineer;Zdalnie;N/A;21840;26040;PLN
Senior Data Engineer with Snowflake;Objectivity - part of Accenture;;data engineer;Zdalnie;N/A;21840;26040;PLN
Mid Data & AI Engineer - FULLY REMOTE;Nest Bank;Big DATA;data engineer;Zdalnie;N/A;15000;22000;PLN
Remote Data Engineer;Connectis_;Azure;data engineer;Zdalnie;N/A;30000;35000;PLN
Senior Data Engineer;Devire;Python;data engineer;Zdalnie;N/A;30240;33600;PLN
Senior Data Engineer;Brainly Sp. z o.o.;Python;data engineer;Zdalnie;N/A;20000;28000;PLN
Senior Data Engineer;NIX Tech Kft.;;data engineer;Budapest;N/A;11691;23382;PLN
Data Platform Engineer (Infrastructure / DataOps);HL Tech;AWS;data engineer;Warsaw;N/A;13000;18500;PLN
