name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency;salary_avg;is_senior
senior data scientist;SKY ENGINE AI;;data scientist;warszawa;PL;20000;28000;PLN;24000.0;1
data scientist (junior/mid);Addepto;Python;data scientist;remote;;7000;12600;PLN;9800.0;0
senior data scientist;Reply Polska;Python;data scientist;katowice;PL;16000;22000;PLN;19000.0;1
senior data scientist;SEB (Skandinaviska Enskilda Banken);Python;data scientist;warszawa;PL;22000;27000;PLN;24500.0;1
senior data scientist - generative ai;SoftServe;Python;data scientist;remote;;20000;30000;PLN;25000.0;1
senior data scientist;hubQuest;Python;data scientist;remote;;28500;35000;PLN;31750.0;1
data scientist;Link Group;SQL;data scientist;remote;;18000;24000;PLN;21000.0;0
tech lead data scientist;Adform Sp. z o.o.;;data scientist;warszawa;PL;23700;32200;PLN;27950.0;0
senior data scientist;Link Group;Python;data scientist;warszawa;PL;20000;30000;PLN;25000.0;1
data scientist;Avenga;Python;data scientist;remote;;21840;23520;PLN;22680.0;0
data scientist;Numlabs;Python;data scientist;remote;;9000;14000;PLN;11500.0;0
senior data scientist;in4ge sp. z o.o.;;data scientist;remote;;20000;28000;PLN;24000.0;1
data scientist ( mid / senior );Addepto;Python;data scientist;remote;;13000;26000;PLN;19500.0;1
data scientist (computer vision);Onwelo Sp. z o.o.;Python;data scientist;remote;;15750;21000;PLN;18375.0;0
senior generative ai data scientist;Spyrosoft;Python;data scientist;wrocław;PL;18480;26880;PLN;22680.0;1
lead data science consultant;SoftServe;AWS;data scientist;remote;;28000;34000;PLN;31000.0;0
data engineer (etl, python, sql);Crestt;Python;data engineer;warszawa;PL;21000;29400;PLN;25200.0;0
mid data engineer;Digital Hub Warsaw at Bayer;AWS;data engineer;warszawa;PL;14000;20500;PLN;17250.0;0
business data analyst / bi engineer;NIX Tech Kft.;;data engineer;budapest;HU;9352;12860;PLN;11106.0;0
data engineer;Photon Energy Group;;data engineer;remote;;22000;26000;PLN;24000.0;0
big data engineer - data & ai;Allegro;;data engineer;warszawa;PL;12300;17600;PLN;14950.0;0
data engineer;hubQuest;Python;data engineer;remote;;30000;37000;PLN;33500.0;0
gcp data engineer;Mindbox S.A.;SQL;data engineer;kraków;PL;29400;35700;PLN;32550.0;0
remote senior data engineer;Kingfisher plc.;Python;data engineer;remote;;22000;25000;PLN;23500.0;1
data engineer (financial crime);SEB (Skandinaviska Enskilda Banken);Python;data engineer;warszawa;PL;28000;34000;PLN;31000.0;0
data platform engineer/consultant;Elitmind;;data engineer;remote;;13944;19992;PLN;16968.0;0
data engineer with aws & pbi;Sigma IT Poland;;data engineer;remote;;19000;21800;PLN;20400.0;0
senior data engineer with python;Objectivity - part of Accenture;Python;data engineer;remote;;21840;26040;PLN;23940.0;1
senior data engineer with databricks;Objectivity - part of Accenture;Databricks;data engineer;remote;;21840;26040;PLN;23940.0;1
senior data engineer with snowflake;Objectivity - part of Accenture;;data engineer;remote;;21840;26040;PLN;23940.0;1
mid data & ai engineer - fully remote;Nest Bank;Big DATA;data engineer;remote;;15000;22000;PLN;18500.0;0
remote data engineer;Connectis_;Azure;data engineer;remote;;30000;35000;PLN;32500.0;0
senior data engineer;Devire;Python;data engineer;remote;;30240;33600;PLN;31920.0;1
senior data engineer;Brainly Sp. z o.o.;Python;data engineer;remote;;20000;28000;PLN;24000.0;1
senior data engineer;NIX Tech Kft.;;data engineer;budapest;HU;11691;23382;PLN;17536.5;1
data platform engineer (infrastructure / dataops);HL Tech;AWS;data engineer;warszawa;PL;13000;18500;PLN;15750.0;0
